,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Aldıkları Hizmet Sayısı,Aldıkları Hizmet Başına Aylık Ortalama Ücreti,Sözleşmeli Mi?,Otomatik Ödeme mi?,Streaming,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_Group_Kısa Süreli Müşteri,Tenure_Group_Orta Süreli Müşteri,Tenure_Group_Uzun Süreli Müşteri
0,7590-VHVEG,0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,2,14.925,0,0,0,False,False,False,False,False,True,False,False,False,False
1,5575-GNVDE,1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,4,14.2375,1,0,0,False,False,True,False,False,False,True,True,False,False
2,3668-QPYBK,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,4,13.4625,0,0,0,False,False,False,False,False,False,True,False,False,False
3,7795-CFOCW,1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,4,10.575,1,1,0,False,False,True,False,False,False,False,False,True,False
4,9237-HQITU,0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,2,35.35,0,0,0,True,False,False,False,False,True,False,False,False,False
5,9305-CDSKC,0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,5,19.93,0,0,1,True,False,False,False,False,True,False,False,False,False
6,1452-KIOVK,1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,4,22.275,0,1,1,True,False,False,False,True,False,False,True,False,False
7,6713-OKOMC,0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,2,14.875,0,0,0,False,False,False,False,False,False,True,False,False,False
8,7892-POOKP,0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,6,17.466666666666665,0,0,1,True,False,False,False,False,True,False,True,False,False
9,6388-TABGU,1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,4,14.0375,1,1,0,False,False,True,False,False,False,False,False,False,True
10,9763-GRSKD,1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,3,16.650000000000002,0,0,0,False,False,False,False,False,False,True,True,False,False
11,7469-LKBCI,1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,1,18.95,1,1,0,False,True,False,True,True,False,False,True,False,False
12,8091-TTVAX,1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,5,20.07,1,1,1,True,False,True,False,True,False,False,False,True,False
13,0280-XJGEX,1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,6,17.283333333333335,0,1,1,True,False,False,False,False,False,False,False,True,False
14,5129-JLPIS,1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,7,15.071428571428571,0,0,1,True,False,False,False,False,True,False,True,False,False
15,3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,8,14.15625,1,1,1,True,False,False,True,True,False,False,False,False,True
16,8191-XWSZG,0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,1,20.65,1,0,0,False,True,True,False,False,False,True,False,True,False
